open,high,low,close,5. volume,market cap
1.01760000,1.01920000,1.01540000,1.01890000,747400.22000000,747400.22000000
1.01520000,1.02260000,1.01360000,1.01760000,2530342.09000000,2530342.09000000
1.01680000,1.01900000,1.01300000,1.01610000,1393787.58000000,1393787.58000000
1.01710000,1.01850000,1.01340000,1.01680000,485475.15000000,485475.15000000
1.01750000,1.01860000,1.01290000,1.01790000,1018178.21000000,1018178.21000000
1.01390000,1.01960000,1.01350000,1.01750000,760257.15000000,760257.15000000
1.01470000,1.01700000,1.01280000,1.01390000,897824.33000000,897824.33000000
1.01460000,1.01890000,1.01210000,1.01470000,825417.02000000,825417.02000000
1.01370000,1.01840000,1.01230000,1.01470000,905220.22000000,905220.22000000
1.01810000,1.02240000,1.01080000,1.01370000,1381117.87000000,1381117.87000000
1.01850000,1.02350000,1.01120000,1.01880000,3009365.04000000,3009365.04000000
1.02010000,1.02450000,1.00310000,1.01850000,3039974.84000000,3039974.84000000
1.03000000,1.03200000,1.01410000,1.02010000,6505500.25000000,6505500.25000000
1.02930000,1.04000000,1.02400000,1.03000000,1687970.57000000,1687970.57000000
1.02150000,1.05000000,1.01300000,1.02930000,2567993.65000000,2567993.65000000
1.01270000,1.03080000,1.01180000,1.02170000,772407.38000000,772407.38000000
1.01020000,1.01770000,1.00750000,1.01270000,1281683.88000000,1281683.88000000
1.00280000,1.01890000,1.00220000,1.01070000,1120072.37000000,1120072.37000000
1.03590000,1.03720000,1.00040000,1.00280000,1918594.31000000,1918594.31000000
1.03410000,1.04040000,1.02310000,1.03690000,1260183.39000000,1260183.39000000
1.01000000,1.14140000,1.01000000,1.03410000,1947220.42000000,1947220.42000000
